,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
157,19616,0.94,52.3331,52.1604,9.39,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,10,0.01,100
158,19616,0.94,52.3331,52.1604,8.83,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,10,0.01,100
159,19616,0.94,52.3331,52.1604,0.39,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,10,0.01,35918
160,19616,0.94,52.3331,52.1604,0.43,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,10,0.01,35918
161,19616,0.94,52.3331,52.1604,0.41,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,10,0.01,35918
162,19616,0.94,52.3331,52.1604,88.87,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,100,0.01,100
163,19616,0.94,52.3331,52.1604,88.82,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,100,0.01,100
164,19616,0.94,52.3331,52.1604,94.29,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,100,0.01,100
165,19616,0.94,52.3331,52.1604,3.11,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,100,0.01,35918
166,19616,0.94,52.3331,52.1604,3.13,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,100,0.01,35918
167,19616,0.94,52.3331,52.1604,3.24,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,100,0.01,35918
168,100,0.88,86.9063,87.4944,0.08,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,1,0.01,100
169,100,0.88,86.291,86.9042,0.01,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,1,0.01,35918
170,100,0.88,88.1786,88.6303,0.75,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,10,0.01,100
171,100,0.88,86.3077,86.9154,0.07,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,10,0.01,35918
172,100,0.88,88.6686,89.2762,7.7,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,100,0.01,100
173,100,0.88,86.4887,87.0045,0.6,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LogisticRegression,,,,100,0.01,35918
174,100,0.88,86.3467,87.0601,0.25,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,1.0,,1,0.01,100
175,100,0.88,86.536,86.9042,0.3,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,10.0,,1,0.01,100
176,100,0.88,83.9273,84.1425,0.22,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,50.0,,1,0.01,100
177,100,0.88,86.291,86.9042,0.02,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,1.0,,1,0.01,35918
178,100,0.88,86.291,86.9042,0.02,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,10.0,,1,0.01,35918
179,100,0.88,86.291,86.9042,0.01,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,50.0,,1,0.01,35918
180,100,0.88,86.4358,86.8708,2.39,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,1.0,,10,0.01,100
181,100,0.88,86.948,87.5835,2.47,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,10.0,,10,0.01,100
182,100,0.88,83.6127,84.1203,2.51,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,50.0,,10,0.01,100
183,100,0.88,86.3049,86.9042,0.18,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,1.0,,10,0.01,35918
184,100,0.88,86.3996,86.8486,0.11,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,10.0,,10,0.01,35918
185,100,0.88,88.1285,88.7416,0.13,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,50.0,,10,0.01,35918
186,100,0.88,86.4386,87.0156,23.4,tf-idf,None,,"(1, 1)",100.0,True,['title'],True,LinearSVM,,1.0,,100,0.01,100
